questLineKey	chapter	step	visibleChoiceCount	branchKey	choiceKey	label	nextEntryKeys	failureEntryKeys	convergesIntoEntryKeys	owningEntryKey	shownAtEntryKey	suspectedClassification	reason
FactionQuest_KinOfSheredyn	0	1	4			Pryzja, a Kin youth, is missing.	FactionQuest_KinOfSheredyn_Chapter01_Step01			FactionQuest_KinOfSheredyn_Chapter00_Step00	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01	projection/variant of current step	projected entry variant at backend progression step; no variant ancestry/prerequisite path is present
FactionQuest_KinOfSheredyn	0	1	4	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01:branch:1	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01Definition	Found a home for the surviving Kin.				TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned
FactionQuest_KinOfSheredyn	0	1	4	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01:branch:2	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step02Definition	Start the task of rebuilding your Empire.				TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	0	1	4	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01:branch:3	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step03Definition	Find local allies to join your ranks.				TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01	TutorialScenario_Quest_KinOfSheredyn_Chapter00_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	1	1	5			Stirrings	FactionQuest_KinOfSheredyn02_Chapter02_Step01		FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn; no variant ancestry/prerequisite path is present
FactionQuest_KinOfSheredyn	1	1	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:1	FactionQuest_KinOfSheredyn_Chapter01_Step01ChoiceDefinition	Pryzja, a Kin youth, is missing.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	true player choice	initial Step 1 branch; continuation appears as sibling branch for Step 2, but no explicit ownership edge links them
FactionQuest_KinOfSheredyn	1	1	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:2	FactionQuest_KinOfSheredyn_Chapter01_Step02ChoiceDefinition	Eliminate the Necrophage threat.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 2, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	1	1	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:3	FactionQuest_KinOfSheredyn_Chapter01_Step03ChoiceDefinition	The Kin’s industrial and economic base must be bolstered.	FactionQuest_KinOfSheredyn_Chapter02_Step01			FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	branch continuation; likely wrong-path leakage	choiceKey belongs to Step 3, but frontend shows it at Step 1; current DTO has no parentBranchKey/prerequisite path to gate it
FactionQuest_KinOfSheredyn	1	1	5	FactionQuest_KinOfSheredyn_Chapter01_Step01:branch:4	FactionQuest_KinOfSheredyn_Chapter00_Step00ChoiceDefinition	Pryzja, a Kin youth, is missing.				FactionQuest_KinOfSheredyn_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	unresolved/dead-end artifact	no next/failure/convergence target; not enough metadata to determine whether terminal, unresolved, or continuation-owned; duplicate display label in this visible step
FactionQuest_KinOfSheredyn	1	2	5			Stirrings	FactionQuest_KinOfSheredyn02_Chapter02_Step01		FactionQuest_KinOfSheredyn02_Chapter02_Step01	FactionQuest_KinOfSheredyn02_Chapter01_Step01	FactionQuest_KinOfSheredyn_Chapter01_Step01	projection/variant of current step	projected entry variant at backend progression step; numeric/raw questline FactionQuest_KinOfSheredyn02 collapsed into FactionQuest_KinOfSheredyn; no variant ancestry/prerequisite path is present
